frame_idx,handedness,lm0_x,lm0_y,lm1_x,lm1_y,lm2_x,lm2_y,lm3_x,lm3_y,lm4_x,lm4_y,lm5_x,lm5_y,lm6_x,lm6_y,lm7_x,lm7_y,lm8_x,lm8_y,lm9_x,lm9_y,lm10_x,lm10_y,lm11_x,lm11_y,lm12_x,lm12_y,lm13_x,lm13_y,lm14_x,lm14_y,lm15_x,lm15_y,lm16_x,lm16_y,lm17_x,lm17_y,lm18_x,lm18_y,lm19_x,lm19_y,lm20_x,lm20_y,gesture
120,left,0.0,0.0,0.29896907216494845,0.010309278350515464,0.5670103092783505,0.2268041237113402,0.8041237113402062,0.4536082474226804,1.0,0.6494845360824743,0.24742268041237114,0.7628865979381443,0.711340206185567,0.9587628865979382,0.8865979381443299,0.845360824742268,0.9072164948453608,0.7422680412371134,0.15463917525773196,0.7938144329896907,0.6391752577319587,0.8865979381443299,0.7938144329896907,0.6597938144329897,0.7835051546391752,0.4845360824742268,0.13402061855670103,0.7628865979381443,0.5670103092783505,0.8350515463917526,0.6804123711340206,0.6185567010309279,0.6597938144329897,0.4536082474226804,0.15463917525773196,0.7422680412371134,0.4639175257731959,0.7731958762886598,0.5670103092783505,0.6391752577319587,0.5567010309278351,0.5360824742268041,
120,right,0.0,0.0,-0.2376237623762376,0.12871287128712872,-0.46534653465346537,0.4158415841584158,-0.6732673267326733,0.6138613861386139,-0.8316831683168316,0.7524752475247525,-0.297029702970297,0.8217821782178217,-0.693069306930693,0.9108910891089109,-0.8613861386138614,0.7623762376237624,-0.900990099009901,0.6138613861386139,-0.22772277227722773,0.8811881188118812,-0.6831683168316832,0.9801980198019802,-0.8613861386138614,0.7920792079207921,-0.900990099009901,0.6237623762376238,-0.21782178217821782,0.8613861386138614,-0.6633663366336634,1.0,-0.8316831683168316,0.8118811881188119,-0.8613861386138614,0.6336633663366337,-0.25742574257425743,0.7920792079207921,-0.6237623762376238,0.9405940594059405,-0.7524752475247525,0.8118811881188119,-0.7821782178217822,0.6633663366336634,
140,left,0.0,0.0,0.32989690721649484,0.030927835051546393,0.5670103092783505,0.25773195876288657,0.7835051546391752,0.5051546391752577,0.9587628865979382,0.6907216494845361,0.26804123711340205,0.7938144329896907,0.6907216494845361,1.0,0.8350515463917526,0.8762886597938144,0.845360824742268,0.7938144329896907,0.16494845360824742,0.8247422680412371,0.5979381443298969,0.8969072164948454,0.7628865979381443,0.711340206185567,0.7938144329896907,0.5670103092783505,0.13402061855670103,0.7835051546391752,0.5257731958762887,0.8247422680412371,0.6597938144329897,0.6391752577319587,0.6804123711340206,0.4948453608247423,0.14432989690721648,0.7628865979381443,0.4329896907216495,0.7835051546391752,0.5257731958762887,0.6597938144329897,0.5463917525773195,0.5567010309278351,0
140,right,0.0,0.0,-0.3025210084033613,0.008403361344537815,-0.5798319327731093,0.24369747899159663,-0.7983193277310925,0.453781512605042,-0.9831932773109243,0.6134453781512605,-0.42016806722689076,0.7394957983193278,-0.8235294117647058,0.8487394957983193,-0.9831932773109243,0.6974789915966386,-1.0,0.5630252100840336,-0.31092436974789917,0.8151260504201681,-0.7226890756302521,0.8823529411764706,-0.8823529411764706,0.7226890756302521,-0.9159663865546218,0.5714285714285714,-0.25210084033613445,0.7899159663865546,-0.6050420168067226,0.8739495798319328,-0.7647058823529411,0.7226890756302521,-0.8151260504201681,0.5798319327731093,-0.226890756302521,0.7394957983193278,-0.4957983193277311,0.8487394957983193,-0.6302521008403361,0.7394957983193278,-0.6890756302521008,0.6218487394957983,0
160,left,0.0,0.0,0.375,0.041666666666666664,0.6666666666666666,0.2708333333333333,0.8541666666666666,0.5104166666666666,0.9479166666666666,0.6770833333333334,0.3229166666666667,0.7708333333333334,0.7083333333333334,1.0,0.8333333333333334,0.8333333333333334,0.8125,0.6979166666666666,0.1875,0.8333333333333334,0.5729166666666666,0.9479166666666666,0.6875,0.78125,0.6770833333333334,0.6770833333333334,0.125,0.8020833333333334,0.46875,0.875,0.5729166666666666,0.7395833333333334,0.5520833333333334,0.625,0.11458333333333333,0.7604166666666666,0.3854166666666667,0.8229166666666666,0.46875,0.7291666666666666,0.4583333333333333,0.6354166666666666,0
160,right,0.0,0.0,-0.36,0.104,-0.632,0.36,-0.808,0.56,-1.0,0.728,-0.4,0.744,-0.584,0.928,-0.744,0.936,-0.848,0.896,-0.256,0.752,-0.448,0.944,-0.632,0.96,-0.752,0.904,-0.152,0.712,-0.312,0.896,-0.48,0.928,-0.616,0.888,-0.12,0.632,-0.264,0.8,-0.4,0.824,-0.52,0.816,0
180,left,0.0,0.0,0.3645833333333333,0.020833333333333332,0.6666666666666666,0.20833333333333334,0.8958333333333334,0.40625,1.0,0.5520833333333334,0.3020833333333333,0.75,0.71875,0.9583333333333334,0.8125,0.7604166666666666,0.7708333333333334,0.6041666666666666,0.17708333333333334,0.8020833333333334,0.59375,0.9270833333333334,0.6979166666666666,0.7291666666666666,0.6770833333333334,0.59375,0.125,0.78125,0.5104166666666666,0.8645833333333334,0.6041666666666666,0.71875,0.59375,0.5833333333333334,0.13541666666666666,0.7395833333333334,0.4270833333333333,0.8125,0.4895833333333333,0.6979166666666666,0.46875,0.59375,0
180,right,0.0,0.0,-0.344,0.032,-0.624,0.216,-0.816,0.416,-0.992,0.584,-0.464,0.76,-0.8,0.928,-0.944,0.84,-1.0,0.768,-0.32,0.792,-0.664,0.944,-0.8,0.784,-0.84,0.616,-0.24,0.752,-0.528,0.904,-0.664,0.776,-0.704,0.632,-0.192,0.688,-0.408,0.816,-0.528,0.76,-0.592,0.672,0
200,left,0.0,0.0,0.34375,0.0,0.6354166666666666,0.19791666666666666,0.8645833333333334,0.3958333333333333,1.0,0.5520833333333334,0.3020833333333333,0.7395833333333334,0.6979166666666666,0.9583333333333334,0.8125,0.78125,0.7708333333333334,0.625,0.16666666666666666,0.8020833333333334,0.5625,0.9166666666666666,0.6666666666666666,0.7291666666666666,0.6458333333333334,0.6145833333333334,0.10416666666666667,0.7916666666666666,0.46875,0.8541666666666666,0.5520833333333334,0.7083333333333334,0.53125,0.59375,0.11458333333333333,0.7604166666666666,0.3854166666666667,0.8125,0.4583333333333333,0.6979166666666666,0.4375,0.6145833333333334,0
200,right,0.0,0.0,-0.336,0.048,-0.632,0.256,-0.832,0.464,-1.0,0.64,-0.448,0.792,-0.792,0.952,-0.896,0.784,-0.896,0.648,-0.304,0.84,-0.672,0.984,-0.808,0.824,-0.824,0.664,-0.232,0.8,-0.544,0.936,-0.672,0.8,-0.696,0.664,-0.192,0.728,-0.432,0.84,-0.544,0.768,-0.592,0.68,0
